gene1	gene2	correlation
ENSG00000143632.14	ENSG00000092054.12	0.893759300216572
ENSG00000143632.14	ENSG00000104879.4	0.795436204995714
ENSG00000198886.2	ENSG00000198899.2	0.938920415129665
ENSG00000198886.2	ENSG00000198727.2	0.872218037988435
ENSG00000198899.2	ENSG00000198727.2	0.898164927672616
ENSG00000198727.2	ENSG00000198938.2	0.712401670258953
ENSG00000198886.2	ENSG00000198712.1	0.729746540915845
ENSG00000198899.2	ENSG00000198712.1	0.863240891226784
ENSG00000198727.2	ENSG00000198712.1	0.862374268150445
ENSG00000198938.2	ENSG00000198712.1	0.806911349906459
ENSG00000198886.2	ENSG00000198888.2	0.772581148676748
ENSG00000198899.2	ENSG00000198888.2	0.854401397789754
ENSG00000198727.2	ENSG00000198888.2	0.776015277389366
ENSG00000198712.1	ENSG00000198888.2	0.826516117970907
ENSG00000143632.14	ENSG00000198125.12	0.853607453438568
ENSG00000092054.12	ENSG00000198125.12	0.718589806321027
ENSG00000104879.4	ENSG00000198125.12	0.830066563474237
ENSG00000143632.14	ENSG00000111245.14	0.876174351027558
ENSG00000092054.12	ENSG00000111245.14	0.947013576476438
ENSG00000198125.12	ENSG00000111245.14	0.712395874201689
ENSG00000198886.2	ENSG00000198763.3	0.747719274306278
ENSG00000198899.2	ENSG00000198763.3	0.746393026214302
ENSG00000198727.2	ENSG00000198763.3	0.741131855318661
ENSG00000198888.2	ENSG00000198763.3	0.741284585340039
ENSG00000155657.26	ENSG00000183091.19	0.779058161739684
ENSG00000143632.14	ENSG00000105048.16	0.875856519818734
ENSG00000092054.12	ENSG00000105048.16	0.950278911018831
ENSG00000198125.12	ENSG00000105048.16	0.753602083429888
ENSG00000111245.14	ENSG00000105048.16	0.976560987106127
ENSG00000143632.14	ENSG00000159173.18	0.786440084402921
ENSG00000092054.12	ENSG00000159173.18	0.865565861188976
ENSG00000112096.16	ENSG00000159173.18	-0.712220029255122
ENSG00000198125.12	ENSG00000159173.18	0.702872747507698
ENSG00000111245.14	ENSG00000159173.18	0.892994411305495
ENSG00000105048.16	ENSG00000159173.18	0.907527513114288
ENSG00000092054.12	ENSG00000164879.6	0.746843963174079
ENSG00000112096.16	ENSG00000164879.6	-0.903000685594403
