gene	module	degree
ENSG00000143632.14	M1	11
ENSG00000198804.2	M2	1
ENSG00000092054.12	M1	11
ENSG00000198886.2	M3	6
ENSG00000155657.26	M4	3
ENSG00000104879.4	M1	3
ENSG00000198899.2	M3	6
ENSG00000198727.2	M3	7
ENSG00000112096.16	M5	4
ENSG00000198938.2	M3	2
ENSG00000198712.1	M3	6
ENSG00000198888.2	M3	6
ENSG00000198125.12	M1	11
ENSG00000210082.2	M6	0
ENSG00000111245.14	M1	11
ENSG00000198763.3	M3	5
ENSG00000128591.15	M7	0
ENSG00000198786.2	M8	1
ENSG00000175084.11	M9	0
ENSG00000183091.19	M4	2
ENSG00000109061.9	M10	0
ENSG00000004799.7	M11	1
ENSG00000105048.16	M1	11
ENSG00000196091.13	M12	0
ENSG00000125414.18	M13	0
ENSG00000150991.14	M14	0
ENSG00000159173.18	M1	11
ENSG00000164879.6	M1	9
ENSG00000198695.2	M8	1
ENSG00000198467.13	M1	8
ENSG00000237298.9	M4	3
ENSG00000114854.7	M1	11
ENSG00000164309.14	M4	2
ENSG00000022267.16	M15	0
ENSG00000173991.5	M1	11
ENSG00000135821.17	M11	1
ENSG00000111640.14	M16	1
ENSG00000143549.19	M1	10
ENSG00000174437.16	M1	4
ENSG00000237973.1	M2	1
ENSG00000149925.17	M16	1
ENSG00000109846.7	M17	0
ENSG00000228253.1	M3	6
ENSG00000156804.7	M5	2
ENSG00000172403.10	M5	1
ENSG00000239474.6	M18	0
ENSG00000196296.13	M19	0
ENSG00000077522.12	M1	7
ENSG00000245532.7	M20	0
ENSG00000130595.17	M21	0
